kab_kota,npsn,nama_sekolah,status,jumlah_siswa,alamat,jumlah_rombel,jumlah_ruang_kelas,rusak_sedang,rusak_berat,daya_listrik,akses_internet
Kab. Asahan,10204785,SLB Negeri Asahan,Negeri,93,Kec. Kisaran Timur,32,10,0,0,900 Watt,50 Mbps
Kab. Asahan,69984997,SLB SWASTA DAARUS SALAM ASAHAN,Swasta,78,Kec. Kisaran Timur,22,3,2,0,900,30 Mbps
Kab. Asahan,69959064,SEKOLAH LUAR BIASA (SLB) SWASTA OSAKALI ASAHAN,Swasta,86,Kec. Pulo Bandring,25,4,1,3,1300,Ada
Kab. Batubara,10260898,SLB NEGERI BATUBARA,Negeri,178,Kec. Air Putih,44,17,2,2,2200,Ada
Kab. Dairi,10203614,SLB Negeri Sidikalang,Negeri,30,Kec. Sidikalang,9,11,1,0,1300,100 Mbps
Kab. Deli Serdang,69990053,SLB SWASTA SYAFIQ,Swasta,67,Kec. Hamparan Perak,7,3,1,0,3000 Watt,Ada/indihome
Kab. Deli Serdang,10215081,SLB Negeri Deliserdang,Negeri,109,Kec. Lubuk Pakam,22,18,0,0,900 Watt,Ada
Kab. Deli Serdang,10262384,SLB C Karya Tulus,Swasta,0,Kec. Pancur Batu,0,0,0,0,,
Kab. Deli Serdang,69932260,SLB TUNAS HARAPAN MANDIRI,Swasta,130,Kec. Pancur Batu,15,15,2,0,1300,30
Kab. Deli Serdang,10262359,SLB ABC MELATI AISYIAH DELISERDANG,Swasta,163,Kec. Percut Sei Tuan,29,10,3,7,2300,Ada (Indihome 50 mbps)
Kab. Deli Serdang,69932257,SLB MUTIARA HATI,Swasta,0,Kec. Percut Sei Tuan,0,0,0,0,,
Kab. Deli Serdang,69983843,SLB NEGERI AUTIS SUMATERA UTARA,Negeri,131,Kec. Percut Sei Tuan,34,18,0,0,Ada (23000 VA),Ada (Indihome 50Mbps)
Kab. Deli Serdang,69996168,SLB PONDOK ANUGERAH,Swasta,0,Kec. Sunggal,0,0,0,0,5000,Ada (Indihome 50Mbps)
Kab. Deli Serdang,10261252,SLB-A YAPENTRA,Swasta,50,Kec. Tanjung Morawa,12,12,0,0,5500,Ada
Kab. Humbang Hasundutan,69979562,SLB NEGERI DOLOKSANGGUL,Negeri,77,Kec. Doloksanggul,20,11,0,0,1300,Ada (Indihome 50 Mbps)
Kab. Karo,10202097,SLB Negeri Berastagi,Negeri,62,Kec. Berastagi,24,6,0,0,2200 watt,Ada (Indihome 75 Mbps)
Kab. Karo,10220440,SLB SWASTA YKPC GBKP ALPHA OMEGA KABANJAHE,Swasta,0,Kec. Kabanjahe,0,0,0,0,,
Kab. Karo,70052365,SLB Swasta Kabeta Bina Mandiri,Swasta,18,Kec. Kabanjahe,3,3,0,0,1300,100 Mbps
Kab. Labuhanbatu,10204862,SLB Negeri Rantauprapat,Negeri,100,Kec. Rantau Selatan,25,8,0,0,900 Watt,Ada
Kab. Labuhanbatu Utara,69957452,SLB NEGERI AEK KANOPAN,Negeri,106,Kec. Kualuh Selatan,33,19,0,0,5500 Watt,Ada (Indihome 50 Mbps)
Kab. Langkat,10201464,SLB Negeri Stabat,Negeri,190,Kec. Stabat,34,13,2,2,5500Va,Ada
Kab. Mandailing Natal,10269080,SLB NEGERI MANDAILING NATAL,Negeri,98,Kec. Panyabungan,48,12,0,0,1300,Ada
Kab. Mandailing Natal,70046572,SLB Swasta Cahaya Mandiri,Swasta,18,Kec. Siabu,6,5,0,0,1300,Ada/Tethering 
