No,Kab_Kota,NPSN,Nama_Sekolah,Status,Jumlah_Siswa,Alamat,Jumlah_Rombel,Daya_Listrik,Akses_Internet
1,Kab. Asahan,10204785,SLB Negeri Asahan,Negeri,92,Kec. Kisaran Timur,32,900 Watt,50 Mbps
2,Kab. Asahan,69984997,SLB SWASTA DAARUS SALAM ASAHAN,Swasta,78,Kec. Kisaran Timur,22,900,30 Mbps
3,Kab. Asahan,69959064,SEKOLAH LUAR BIASA (SLB) SWASTA OSAKALI ASAHAN,Swasta,83,Kec. Pulo Bandring,25,1300,Ada
4,Kab. Batubara,10260898,SLB NEGERI BATUBARA,Negeri,178,Kec. Air Putih,44,2200,Ada
5,Kab. Dairi,10203614,SLB Negeri Sidikalang,Negeri,29,Kec. Sidikalang,9,1300,100 Mbps
6,Kab. Deli Serdang,69990053,SLB SWASTA SYAFIQ,Swasta,61,Kec. Hamparan Perak,7,3000 Watt,Ada/indihome
7,Kab. Deli Serdang,10215081,SLB Negeri Deliserdang,Negeri,109,Kec. Lubuk Pakam,22,1300,ada
8,Kab. Deli Serdang,10262384,SLB C Karya Tulus,Swasta,108,Kec. Pancur Batu,0,1300,ada
9,Kab. Deli Serdang,69932260,SLB TUNAS HARAPAN MANDIRI,Swasta,129,Kec. Pancur Batu,15,1300,30
10,Kab. Deli Serdang,10262359,SLB ABC MELATI AISYIAH DELISERDANG,Swasta,162,Kec. Percut Sei Tuan,29,2300,Ada (Indihome 50 mbps)
11,Kab. Deli Serdang,69932257,SLB MUTIARA HATI,Swasta,122,Kec. Percut Sei Tuan,0,900 Watt,Ada
12,Kab. Deli Serdang,69983843,SLB NEGERI AUTIS SUMATERA UTARA,Negeri,134,Kec. Percut Sei Tuan,34,Ada (23000 VA),Ada (Indihome 50Mbps)
13,Kab. Deli Serdang,69996168,SLB PONDOK ANUGERAH,Swasta,82,Kec. Sunggal,0,5000,Ada (Indihome 50Mbps)
14,Kab. Deli Serdang,10261252,SLB-A YAPENTRA,Swasta,49,Kec. Tanjung Morawa,12,5500,Ada
15,Kab. Humbang Hasundutan,69979562,SLB NEGERI DOLOKSANGGUL,Negeri,77,Kec. Doloksanggul,20,1300,Ada (Indihome 50 Mbps)
16,Kab. Karo,10202097,SLB Negeri Berastagi,Negeri,61,Kec. Berastagi,24,2200 watt,Ada (Indihome 75 Mbps)
17,Kab. Karo,10220440,SLB SWASTA YKPC GBKP ALPHA OMEGA KABANJAHE,Swasta,101,Kec. Kabanjahe,0,900 Watt,Ada
18,Kab. Karo,70052365,SLB Swasta Kabeta Bina Mandiri,Swasta,18,Kec. Kabanjahe,3,1300,100 Mbps
19,Kab. Labuhanbatu,10204862,SLB Negeri Rantauprapat,Negeri,97,Kec. Rantau Selatan,25,900 Watt,Ada
20,Kab. Labuhanbatu Utara,69957452,SLB NEGERI AEK KANOPAN,Negeri,106,Kec. Kualuh Selatan,33,5500 Watt,Ada (Indihome 50 Mbps)
21,Kab. Langkat,10201464,SLB Negeri Stabat,Negeri,192,Kec. Stabat,34,5500Va,Ada
