no,kab_kota,estimasi populasi usia sekolah,jumlah_siswa,ats_disabilitas,lat,lon
1,Kab. Asahan,175,253,52,2.9833,99.6333
2,Kab. Batubara,212,178,75,3.2167,99.5
3,Kab. Dairi,144,29,118,2.7417,98.3125
4,Kab. Deli Serdang,637,956,0,3.5482,98.7837
5,Kab. Humbang Hasundutan,138,77,84,2.33,98.5
6,Kab. Karo,155,180,14,3.105,98.2656
7,Kab. Labuhanbatu,140,97,45,2.1,100
8,Kab. Labuhanbatu Selatan,53,0,53,1.9833,100.0833
9,Kab. Labuhanbatu Utara,359,106,270,2.35,99.75
10,Kab. Langkat,249,192,72,3.728,98.4513
11,Kab. Mandailing Natal,156,114,56,0.7432,99.5553
12,Kab. Nias,70,0,70,1.0333,97.7333
13,Kab. Nias Barat,93,25,77,1,97.5667
14,Kab. Nias Selatan,279,0,279,0.5833,97.8167
15,Kab. Nias Utara,121,0,121,1.3,97.6
16,Kab. Padang Lawas,261,0,261,1.25,99.75
17,Kab. Padang Lawas Utara,63,71,8,1.5,99.75
18,Kab. Pakpak Bharat,157,24,136,2.55,98.3
19,Kab. Samosir,84,0,84,2.5833,98.7
20,Kab. Serdang Bedagai,257,140,137,3.3333,99.0833
21,Kab. Simalungun,340,131,231,2.9,99.0833
22,Kab. Tapanuli Selatan,229,73,188,1.5,99.25
23,Kab. Tapanuli Tengah,164,32,134,1.75,98.7833
24,Kab. Tapanuli Utara,138,67,78,2.0173,98.9668
25,Kab. Toba,83,70,30,2.35,99
26,Kota Binjai,176,380,0,3.5986,98.4854
27,Kota Gunungsitoli,113,197,0,1.2833,97.6167
28,Kota Medan,1145,1320,0,3.5952,98.6722
29,Kota Padangsidimpuan,93,143,0,1.3786,99.2731
30,Kota Pematangsiantar,184,171,43,2.9603,99.062
31,Kota Sibolga,43,65,0,1.74,98.78
32,Kota Tanjungbalai,66,111,0,2.9667,99.8
33,Kota Tebing Tinggi,155,249,0,3.3274,99.1623
